sttn_idntfr,sttn_std_idntfr,sttn_ty,centr_cartrk_se,korean_nm,shrten_nm,la,lo,detect_headg_value,link_idntfr,link_la,link_lo,link_isesttn_sn,link_isesttn_dstnc,start_dcs_dstnc,arvl_dcs_dstnc,reform_no,sttn_svc_idntfr,sttn_svc_nm
1023,355001034,1,0,봉곡도서관입구,봉곡도서관입구,128.3067926,36.15259139,355,3550114800,128.3067272,36.15258595,1,110,50,50,1156,11023,봉곡도서관입구
1024,355001035,1,0,봉곡도서관입구건너,봉곡도서관입구건너,128.3065664,36.15306529,185,3550114900,128.3066209,36.1530544,1,140,50,50,1156,11024,봉곡도서관입구건너
1025,355001036,1,0,휘닉스소재앞,휘닉스소재앞,128.4475765,36.14096455,270,3550109900,128.4475765,36.14086651,1,50,50,50,1161,11025,휘닉스소재앞
1026,355001037,1,0,휘닉스소재건너,휘닉스소재건너,128.4474659,36.1406384,180,3550109800,128.4474441,36.14073644,2,730,50,50,1404,11026,휘닉스소재건너
1027,355001038,1,0,도로공사도성관앞,도로공사도성관앞,128.3150812,36.15185382,5,3550064100,128.3149285,36.15186186,1,145,50,50,1162,11027,도로공사도성관앞
1028,355001039,1,0,도로공사도성관건너,도로공사도성관건너,128.3147437,36.15275374,185,3550021500,128.3148562,36.15278588,2,510,50,50,1162,11028,도로공사도성관건너
1029,355001040,1,0,아사히글라스앞,아사히글라스앞,128.4481746,36.14651396,0,3550108800,128.4480983,36.14647038,1,385,50,50,1189,11029,아사히글라스앞
1030,355001041,1,0,중흥S클래스건너,중흥S클래스건너,128.4287268,36.1398114,183,3550096000,128.4287206,36.13978395,1,390,50,50,1349,11030,중흥S클래스건너
1031,355001042,1,0,미소지움아파트앞,미소지움아파트앞,128.3238455,36.1344027,10,3550001400,128.3238128,36.13445717,1,195,50,50,1204,11031,미소지움아파트앞
1032,355001043,1,0,미소지움아파트건너,미소지움아파트건너,128.3235922,36.13443409,190,3550043500,128.3236466,36.1344123,1,360,50,50,1204,11032,미소지움아파트건너
1033,355004381,1,0,교리e편한세상A앞,교리e편한세상앞,128.304985,36.250966,180,3550131200,128.3049583,36.25102742,1,97,50,50,1245,11033,
1034,355004382,1,0,교리e편한세상A건너,교리e편한세상A건너,128.305038,36.250891,0,3550131300,128.305135,36.2508562,1,25,50,50,1245,11034,
1035,355004366,1,0,구미대학교안,구미대학교,128.2894222,36.15103231,180,3550133500,128.2895106,36.15096803,1,23,50,50,1224,11035,구미대학교안
1037,355004368,1,0,교리e편한세상(고아방면),교리e편한세상,128.3060427,36.2506763,188,3550132000,128.3060748,36.25069237,1,30,50,50,1429,11037,교리e편한세상
1038,355004369,1,0,교리e편한세상(생곡리방면),교리e편한세상,128.3061793,36.25021027,9,3550132100,128.3061632,36.25020223,1,90,50,50,1429,11038,교리e편한세상
1040,355004408,1,0,우미린센트럴파크앞,신당우미린센트럴파크,128.4345578,36.16022054,155,3550134400,128.4345739,36.16025268,1,97,50,50,1442,11040,
1042,355004388,1,0,지산네거리,지산네거리,128.3387282,36.13210382,124,3550075400,128.3387442,36.13213596,2,690,50,50,1254,11042,
1043,355004389,1,0,도레이첨단소재1공장,도레이첨단소재1공장,128.4071056,36.10567608,0,3550106300,128.4071056,36.10565198,1,303,50,50,1401,11043,
1044,355004397,1,0,원호전원마을,원호전원마을,128.323381,36.162391,105,3550120200,128.323381,36.162391,1,2660,50,50,1276,11044,
1045,355004398,1,0,원호전원마을,원호전원마을,128.3235622,36.16243276,285,3550120300,128.323514,36.16243276,1,1040,50,50,1276,11045,
1046,355004399,1,0,TK케미칼2공장앞,TK케미칼2공장앞,128.3767523,36.09552854,0,3550101200,128.3767925,36.09552854,2,700,50,50,1278,11046,
1047,355004404,1,0,우미린풀하우스정문,우미풀하우스정문,128.4360666,36.1613464,270,3550136800,128.4360586,36.1613223,1,56,50,50,1386,11047,
1048,355004405,1,0,문성2지구,문성2지구,128.3455025,36.15344592,101,3550140900,128.3455352,36.15350039,1,254,50,50,1382,11048,
1049,355004406,1,0,인덕중흥S클래스건너,신당중흥S클래스건너,128.4424197,36.16386614,50,3550137100,128.4423956,36.16389024,1,394,50,50,1367,11049,
1050,355004407,1,0,인덕중흥S클래스앞,신당중흥S클래스앞,128.4422349,36.16403487,230,3550137000,128.4422671,36.16400273,1,100,50,50,1367,11050,
1051,355004409,1,0,우미린센트럴파크건너,신당우미린센트럴파크,128.434883,36.16005914,315,3550134500,128.4347795,36.16007003,1,328,50,50,1442,11051,
1052,355004410,1,0,우미린풀하우스건너,신당우미린풀하우스,128.4361794,36.16100148,92,3550136900,128.4361685,36.16120303,1,28,50,50,1386,11052,
1053,355004411,1,0,태왕아너스아파트,태왕아너스아파트,128.3512586,36.16241508,265,3550064900,128.3512586,36.16239901,1,117,50,50,1301,11053,
1055,355004413,1,0,사곡초등학교,사곡초등학교,128.359121,36.09934516,185,3550118600,128.3590969,36.09934516,1,76,50,50,1302,11055,
1056,355004414,1,0,사곡초등학교건너,사곡초등학교건너,128.3589212,36.09921445,5,3550118400,128.358888,36.09923267,1,78,50,50,1374,11056,
1058,355004412,1,0,4공단하수종말처리장,4공단하수종말처리장,128.4479718,36.1334064,180,3550097200,128.4479936,36.1334173,1,307,50,50,1301,11058,
1059,355004415,1,0,산동파출소건너,산동파출소건너,128.4349193,36.16895677,80,3550000200,128.4349112,36.16906123,1,12,50,50,1308,11059,
1060,355004416,1,0,산동파출소앞,산동파출소앞,128.4348228,36.16921389,260,3550053200,128.4348309,36.16916568,1,71,50,50,1308,11060,
1061,355004417,1,0,산동농협경제사업소건너,산동농협경제사업소,128.4356517,36.16851328,195,3550126700,128.4357079,36.16850525,1,56,50,50,1308,11061,
1062,355004418,1,0,산동농협경제사업소앞,산동농협경제사업소앞,128.4356707,36.16795552,5,3550126600,128.4356868,36.16795552,1,301,50,50,1444,11062,
1063,355004419,1,0,산동농공단지입구,산동농공단지입구,128.4364819,36.16941028,315,3550143500,128.4366104,36.1695067,1,356,50,50,1417,11063,
1064,355004420,1,0,산동농공단지입구,산동농공단지입구,128.4366186,36.16935435,45,3550143300,128.4367552,36.1694588,1,48,50,50,1417,11064,
